imei,tac,manufacturer,model,status,generated_date
356759040141773,35675904,Oppo,N1,allowed,2025-08-13 18:37:22
356759040117130,35675904,Oppo,N1,allowed,2025-08-13 18:37:22
490139200294473,49013920,Nokia,1610,allowed,2025-08-13 18:37:22
490139200057185,49013920,Nokia,1610,allowed,2025-08-13 18:37:22
495022200109011,49502220,Nokia,1620,allowed,2025-08-13 18:37:22
495022200109002,49502220,Nokia,1620,allowed,2025-08-13 18:37:22
352505000057579,35250500,Nokia,6820,allowed,2025-08-13 18:37:22
352505000128235,35250500,Nokia,6820,blacklisted,2025-08-13 18:37:23
490122410260244,49012241,Siemens,S2,allowed,2025-08-13 18:37:23
490122410051103,49012241,Siemens,S2,allowed,2025-08-13 18:37:23
350606800281493,35060680,Nokia,3310,allowed,2025-08-13 18:37:23
350606800235873,35060680,Nokia,3310,allowed,2025-08-13 18:37:23
449194510190183,44919451,Siemens,M35i,allowed,2025-08-13 18:37:23
449194510246310,44919451,Siemens,M35i,allowed,2025-08-13 18:37:23
358639070282593,35863907,SciPhone,Dream G2,allowed,2025-08-13 18:37:23
358639070217673,35863907,SciPhone,Dream G2,blacklisted,2025-08-13 18:37:23
448145510238296,44814551,Siemens,S10 active,allowed,2025-08-13 18:37:23
448145510145047,44814551,Siemens,S10 active,blacklisted,2025-08-13 18:37:23
356496040168396,35649604,Cinterion,BGS2-W,allowed,2025-08-13 18:37:23
356496040315566,35649604,Cinterion,BGS2-W,allowed,2025-08-13 18:37:23
011948000282742,01194800,Apple,iPhone 3GS,blacklisted,2025-08-13 18:37:23
011948000075324,01194800,Apple,iPhone 3GS,allowed,2025-08-13 18:37:23
012030000251782,01203000,Apple,iPhone 3GS,allowed,2025-08-13 18:37:23
012030000185140,01203000,Apple,iPhone 3GS,allowed,2025-08-13 18:37:23
012156000050961,01215600,Apple,iPhone 3GS,allowed,2025-08-13 18:37:23
012156000116268,01215600,Apple,iPhone 3GS,allowed,2025-08-13 18:37:23
012162000016056,01216200,Apple,iPhone 3GS,allowed,2025-08-13 18:37:23
012162000283855,01216200,Apple,iPhone 3GS,allowed,2025-08-13 18:37:23
012163000020834,01216300,Apple,iPhone 3GS,blacklisted,2025-08-13 18:37:23
012163000078988,01216300,Apple,iPhone 3GS,blacklisted,2025-08-13 18:37:23
012422000022606,01242200,Apple,iPhone 4,blacklisted,2025-08-13 18:37:23
012422000222445,01242200,Apple,iPhone 4,allowed,2025-08-13 18:37:23
012431000179063,01243100,Apple,iPhone 4,allowed,2025-08-13 18:37:23
012431000069672,01243100,Apple,iPhone 4,allowed,2025-08-13 18:37:23
012533000204078,01253300,Apple,iPhone 4,allowed,2025-08-13 18:37:23
012533000111686,01253300,Apple,iPhone 4,allowed,2025-08-13 18:37:23
012541000066967,01254100,Apple,iPhone 4,allowed,2025-08-13 18:37:23
012541000174779,01254100,Apple,iPhone 4,allowed,2025-08-13 18:37:23
012750000053548,01275000,Apple,iPhone 4,allowed,2025-08-13 18:37:23
012750000301414,01275000,Apple,iPhone 4,allowed,2025-08-13 18:37:23
012837000245134,01283700,Apple,iPhone 4,allowed,2025-08-13 18:37:23
012837000168609,01283700,Apple,iPhone 4,blacklisted,2025-08-13 18:37:23
012940000118034,01294000,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
012940000266409,01294000,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013006000150675,01300600,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013006000122251,01300600,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013039000162510,01303900,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013039000136844,01303900,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013040000109452,01304000,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013040000193002,01304000,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013046000115403,01304600,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013046000153166,01304600,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013051000011277,01305100,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013051000039104,01305100,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013052000260700,01305200,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013052000320593,01305200,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013053000111050,01305300,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013053000034036,01305300,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013062000220048,01306200,Apple,iPhone 4s,blacklisted,2025-08-13 18:37:23
013062000320555,01306200,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013064000139199,01306400,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013064000297419,01306400,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013068000036750,01306800,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013068000036304,01306800,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013126000275929,01312600,Apple,iPhone 4,allowed,2025-08-13 18:37:23
013126000117672,01312600,Apple,iPhone 4,allowed,2025-08-13 18:37:23
013127000108431,01312700,Apple,iPhone 4,allowed,2025-08-13 18:37:23
013127000314388,01312700,Apple,iPhone 4,allowed,2025-08-13 18:37:23
013128000093954,01312800,Apple,iPhone 4,allowed,2025-08-13 18:37:23
013128000319499,01312800,Apple,iPhone 4,blacklisted,2025-08-13 18:37:23
013179000058937,01317900,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013179000286780,01317900,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013183000169045,01318300,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
013183000111516,01318300,Apple,iPhone 4s,allowed,2025-08-13 18:37:23
